name,distance,stellar_magnitude,planet_type,discovery_year,mass_multiplier,mass_wrt,radius_multiplier,radius_wrt,orbital_radius,orbital_period,eccentricity,detection_method
HD 155918 b,90.0,7.0,Neptune-like,2022,7.50192,Earth,0.236,Jupiter,0.030046,0.005201916,-0.08,Radial Velocity
HD 155918 c,90.0,7.0,Gas Giant,2022,5.8203,Jupiter,1.14,Jupiter,13.125939,47.1,0.07,Radial Velocity
HD 156098 b,157.0,5.53,Neptune-like,2022,17.14419,Earth,0.384,Jupiter,0.166479,0.05995893,0.11,Radial Velocity
HD 156098 c,157.0,5.53,Gas Giant,2022,5.22768,Jupiter,1.14,Jupiter,8.301568,21.5,0.39,Radial Velocity
HD 156279 b,118.0,8.07,Gas Giant,2011,9.42403,Jupiter,1.12,Jupiter,0.501896,0.36522928,0.65,Radial Velocity
HD 156279 c,118.0,8.07,Gas Giant,2018,10.09039,Jupiter,1.11,Jupiter,5.484633,13.2,0.26,Radial Velocity
HD 156411 b,185.0,6.67,Gas Giant,2009,0.74,Jupiter,1.25,Jupiter,1.88,2.3,0.22,Radial Velocity
HD 156668 b,79.0,8.43,Super Earth,2010,4.15,Earth,1.87,Earth,0.05,0.012594113,0.0,Radial Velocity
HD 156668 c,79.0,8.43,Neptune-like,2021,31.4968,Earth,0.55,Jupiter,1.57,2.2,0.09,Radial Velocity
HD 156846 b,156.0,6.5,Gas Giant,2007,10.67,Jupiter,1.11,Jupiter,1.12,0.98425734,0.85,Radial Velocity
HD 158038 b,309.0,7.47,Gas Giant,2011,1.53,Jupiter,1.21,Jupiter,1.5,1.4,0.29,Radial Velocity
HD 158259 b,88.0,6.47915,Super Earth,2020,2.22,Earth,1.292,Earth,,0.006023272,0.0,Radial Velocity
HD 158259 c,88.0,6.47915,Neptune-like,2020,5.6,Earth,2.23,Earth,,0.009308693,0.0,Radial Velocity
HD 158259 d,88.0,6.47915,Neptune-like,2020,5.41,Earth,2.18,Earth,,0.014236824,0.0,Radial Velocity
HD 158259 e,88.0,6.47915,Neptune-like,2020,6.08,Earth,0.209,Jupiter,,0.021902807,0.0,Radial Velocity
HD 158259 f,88.0,6.47915,Neptune-like,2020,6.14,Earth,0.21,Jupiter,,0.03285421,0.0,Radial Velocity
HD 158996 b,925.0,5.72291,Gas Giant,2018,14.0,Jupiter,1.1,Jupiter,2.1,2.2,0.13,Radial Velocity
HD 159243 b,239.0,8.65,Gas Giant,2013,1.13,Jupiter,1.22,Jupiter,0.11,0.034496922,0.02,Radial Velocity
HD 159243 c,239.0,8.65,Gas Giant,2013,1.9,Jupiter,1.2,Jupiter,0.8,0.68008214,0.08,Radial Velocity
HD 159868 b,182.0,7.24,Gas Giant,2006,2.218,Jupiter,1.19,Jupiter,2.32,3.2,0.02,Radial Velocity
HD 159868 c,182.0,7.24,Gas Giant,2012,0.768,Jupiter,1.25,Jupiter,1.032,0.9609856,0.18,Radial Velocity
HD 1605 b,290.0,7.52,Gas Giant,2015,0.934,Jupiter,1.23,Jupiter,1.492,1.6,0.1,Radial Velocity
HD 1605 c,290.0,7.52,Gas Giant,2015,3.62,Jupiter,1.16,Jupiter,3.584,5.9,0.1,Radial Velocity
HD 160691 b,51.0,5.12,Gas Giant,2000,4.3,Jupiter,,,1.5,1.8,0.13,Radial Velocity
HD 160691 c,51.0,5.12,Gas Giant,2004,4.4,Jupiter,,,4.17,10.8,0.1,Radial Velocity
HD 160691 d,51.0,5.12,Neptune-like,2004,10.17,Earth,0.283,Jupiter,0.09286,0.026283368,0.0,Radial Velocity
HD 160691 e,51.0,5.12,Gas Giant,2006,7.0,Jupiter,,,0.934,0.84298426,0.07,Radial Velocity
HD 161178 b,350.0,5.88375,Gas Giant,2021,0.57,Jupiter,1.26,Jupiter,0.85,0.7646817,0.04,Radial Velocity
HD 16141 b,123.0,6.834,Gas Giant,2000,0.26,Jupiter,0.971,Jupiter,0.36,0.20670773,0.25,Radial Velocity
HD 16175 b,195.0,7.297,Gas Giant,2009,5.1,Jupiter,1.15,Jupiter,2.12,2.7,0.6,Radial Velocity
HD 162020 b,101.0,9.1,Gas Giant,2002,9.84,Jupiter,1.11,Jupiter,0.08,0.022997946,0.28,Radial Velocity
HD 163607 b,221.0,8.0,Gas Giant,2010,0.7836,Jupiter,1.24,Jupiter,0.362,0.20588636,0.74,Radial Velocity
HD 163607 c,221.0,8.0,Gas Giant,2010,2.201,Jupiter,1.19,Jupiter,2.39,3.5,0.08,Radial Velocity
HD 16417 b,83.0,5.78,Neptune-like,2008,22.1,Earth,0.446,Jupiter,0.14,0.047091037,0.2,Radial Velocity
HD 164509 b,173.0,8.1,Gas Giant,2010,0.443,Jupiter,1.28,Jupiter,0.87,0.7671458,0.24,Radial Velocity
HD 164595 b,92.0,7.08597,Neptune-like,2015,16.14,Earth,0.371,Jupiter,0.23,0.10951403,0.09,Radial Velocity
HD 164604 b,128.0,9.62,Gas Giant,2009,1.99792,Jupiter,1.19,Jupiter,1.331,1.8,0.35,Radial Velocity
HD 164922 b,72.0,7.01227,Gas Giant,2005,0.36497,Jupiter,1.19,Jupiter,2.16,3.3,0.08,Radial Velocity
HD 164922 c,72.0,7.01227,Neptune-like,2016,13.0,Earth,0.327,Jupiter,0.341,0.20725529,0.12,Radial Velocity
HD 164922 d,72.0,7.01227,Super Earth,2020,4.0,Earth,1.83,Earth,0.103,0.034223136,0.12,Radial Velocity
HD 164922 e,72.0,7.01227,Neptune-like,2021,10.52012,Earth,0.288,Jupiter,0.2292,0.11444216,0.09,Radial Velocity
HD 165155 b,207.0,9.36,Gas Giant,2016,2.89,Jupiter,1.18,Jupiter,1.13,1.1895962,0.2,Radial Velocity
HD 1666 b,385.0,8.17,Gas Giant,2015,6.43,Jupiter,1.13,Jupiter,0.94,0.7392197,0.63,Radial Velocity
HD 166724 b,147.0,9.33,Gas Giant,2012,3.53,Jupiter,1.16,Jupiter,5.42,14.1,0.73,Radial Velocity
HD 167042 b,162.0,5.98796,Gas Giant,2007,1.7,Jupiter,1.2,Jupiter,1.32,1.1520876,0.09,Radial Velocity
HD 167768 b,350.0,5.98894,Gas Giant,2022,0.85,Jupiter,1.24,Jupiter,0.1512,0.056673512,0.15,Radial Velocity
HD 168009 b,76.0,6.295,Neptune-like,2021,9.53485,Earth,0.272,Jupiter,0.1192,0.041341547,0.12,Radial Velocity
HD 168443 b,129.0,6.92122,Gas Giant,1998,7.6231,Jupiter,1.13,Jupiter,0.292241,0.15906912,0.53,Radial Velocity
HD 168443 c,129.0,6.92122,Gas Giant,2000,18.03941,Jupiter,1.08,Jupiter,2.840843,4.8,0.21,Radial Velocity
HD 168746 b,136.0,7.95,Gas Giant,2002,0.27,Jupiter,0.993,Jupiter,0.07,0.017522246,0.11,Radial Velocity
HD 168863 b,130.0,9.35,Gas Giant,2022,6.75311,Jupiter,1.13,Jupiter,10.932103,40.5,0.19,Radial Velocity
HD 16905 b,130.0,9.44,Gas Giant,2022,9.07864,Jupiter,1.12,Jupiter,6.469422,18.4,0.66,Radial Velocity
HD 1690 b,2455.0,9.19,Gas Giant,2010,8.79,Jupiter,1.12,Jupiter,1.36,1.5,0.64,Radial Velocity
HD 169830 b,123.0,5.9,Gas Giant,2000,2.52834,Jupiter,1.18,Jupiter,0.764552,0.6179329,0.29,Radial Velocity
HD 169830 c,123.0,5.9,Gas Giant,2003,7.11033,Jupiter,1.13,Jupiter,3.073402,5.0,0.25,Radial Velocity
HD 170469 b,196.0,8.21,Gas Giant,2007,0.66,Jupiter,1.25,Jupiter,2.24,3.1,0.11,Radial Velocity
HD 17092 b,745.0,7.732,Gas Giant,2007,10.13,Jupiter,1.11,Jupiter,1.31,0.98535246,0.17,Radial Velocity
HD 171028 b,364.0,8.292,Gas Giant,2007,2.62,Jupiter,1.18,Jupiter,1.32,1.5,0.59,Radial Velocity
HD 171238 b,146.0,8.61,Gas Giant,2009,8.8,Jupiter,1.12,Jupiter,2.57,4.2,0.23,Radial Velocity
HD 17156 b,255.0,8.17,Gas Giant,2007,3.51,Jupiter,1.1,Jupiter,0.16278,0.05804244,0.68,Radial Velocity
HD 173416 b,431.0,6.04188,Gas Giant,2008,2.7,Jupiter,1.18,Jupiter,1.16,0.8859685,0.21,Radial Velocity
HD 174205 b,763.0,6.28209,Gas Giant,2022,4.2,Jupiter,1.16,Jupiter,1.7,1.6,0.4,Radial Velocity
HD 175167 b,232.0,8.01,Gas Giant,2009,6.80125,Jupiter,1.13,Jupiter,2.306105,3.5,0.53,Radial Velocity
HD 175541 b,423.0,8.020001,Gas Giant,2007,0.598,Jupiter,1.26,Jupiter,0.975,0.81697464,0.11,Radial Velocity
HD 175607 b,132.0,8.6,Neptune-like,2015,8.98,Earth,0.263,Jupiter,,0.07939767,0.11,Radial Velocity
HD 17674 b,145.0,7.535,Gas Giant,2017,0.87,Jupiter,1.24,Jupiter,1.42,1.7,0.13,Radial Velocity
HD 176986 b,91.0,8.42,Neptune-like,2017,5.74,Earth,0.202,Jupiter,0.06296,0.01779603,0.07,Radial Velocity
HD 176986 c,91.0,8.42,Neptune-like,2017,9.18,Earth,0.266,Jupiter,0.11878,0.04599589,0.11,Radial Velocity
HD 177565 b,55.0,6.15,Neptune-like,2017,15.1,Earth,0.357,Jupiter,0.246,0.12183436,0.06,Radial Velocity
HD 177830 b,205.0,7.18,Gas Giant,1999,1.69,Jupiter,1.2,Jupiter,1.14,1.1227926,0.1,Radial Velocity
HD 177830 c,205.0,7.18,Gas Giant,2010,0.15,Jupiter,0.702,Jupiter,0.5137,0.30362767,0.3,Radial Velocity
HD 178911 B b,134.0,7.97,Gas Giant,2001,8.03,Jupiter,1.12,Jupiter,0.34,0.19575633,0.11,Radial Velocity
HD 179079 b,227.0,7.95,Neptune-like,2008,25.74423,Earth,0.488,Jupiter,0.1214,0.039698835,0.05,Radial Velocity
HD 179949 b,90.0,6.25,Gas Giant,2000,0.916,Jupiter,1.24,Jupiter,0.0443,0.008487337,0.02,Radial Velocity
HD 180053 b,447.0,7.93,Gas Giant,2018,2.194,Jupiter,1.19,Jupiter,0.843,0.5850787,0.08,Radial Velocity
HD 18015 b,404.0,7.89,Gas Giant,2018,3.18,Jupiter,1.17,Jupiter,3.87,6.2,0.15,Radial Velocity
HD 180314 b,399.0,6.61519,Gas Giant,2010,20.13,Jupiter,1.08,Jupiter,1.46,1.0841889,0.26,Radial Velocity
HD 180617 b,19.0,9.12,Neptune-like,2018,12.214,Earth,0.315,Jupiter,0.343,0.2899384,0.1,Radial Velocity
HD 180902 b,341.0,7.78,Gas Giant,2009,1.685,Jupiter,1.2,Jupiter,1.4,1.4,0.11,Radial Velocity
HD 181234 b,156.0,8.59,Gas Giant,2019,9.37932,Jupiter,1.12,Jupiter,7.420228,20.8,0.73,Radial Velocity
HD 181342 b,393.0,7.55,Gas Giant,2009,2.54,Jupiter,1.18,Jupiter,1.592,1.5,0.02,Radial Velocity
HD 181433 b,88.0,8.4,Neptune-like,2008,6.3566,Earth,0.214,Jupiter,0.08,0.025735795,0.4,Radial Velocity
HD 181433 c,88.0,8.4,Gas Giant,2008,0.64,Jupiter,1.26,Jupiter,1.76,2.6,0.28,Radial Velocity
HD 181433 d,88.0,8.4,Gas Giant,2008,0.54,Jupiter,1.27,Jupiter,3.0,6.0,0.48,Radial Velocity
HD 18143 b,73.0,7.518,Neptune-like,2022,10.50968,Earth,0.288,Jupiter,0.087639,0.028199865,0.22,Radial Velocity
HD 18143 c,73.0,7.518,Gas Giant,2022,9.80228,Jupiter,1.11,Jupiter,17.521435,79.4,0.19,Radial Velocity
HD 181720 b,196.0,7.84,Gas Giant,2009,0.4,Jupiter,1.25,Jupiter,1.85,2.6,0.26,Radial Velocity
HD 183263 b,177.0,7.86,Gas Giant,2004,3.46739,Jupiter,1.17,Jupiter,1.459291,1.7,0.38,Radial Velocity
HD 183263 c,177.0,7.86,Gas Giant,2008,9.31015,Jupiter,1.12,Jupiter,5.581571,12.8,0.05,Radial Velocity
HD 183579 b,187.0,8.67,Neptune-like,2021,19.7,Earth,0.317,Jupiter,0.1334,0.04791239,0.28,Transit
HD 184010 b,198.0,5.88639,Gas Giant,2022,0.31,Jupiter,1.08,Jupiter,0.94,0.784668,0.0,Radial Velocity
HD 184010 c,198.0,5.88639,Gas Giant,2022,0.3,Jupiter,1.06,Jupiter,1.334,1.3259411,0.0,Radial Velocity
HD 184010 d,198.0,5.88639,Gas Giant,2022,0.45,Jupiter,1.28,Jupiter,1.92,2.3,0.0,Radial Velocity
HD 185269 b,170.0,6.67973,Gas Giant,2006,1.01,Jupiter,1.23,Jupiter,0.077,0.018617386,0.23,Radial Velocity
HD 18599 b,126.0,8.99,Neptune-like,2022,24.1,Earth,0.232,Jupiter,0.048,0.011225188,0.34,Transit
HD 187085 b,150.0,7.22,Gas Giant,2006,0.836,Jupiter,1.24,Jupiter,2.1,2.8,0.25,Radial Velocity
HD 187123 b,150.0,7.83,Gas Giant,1998,0.523,Jupiter,1.27,Jupiter,0.0426,0.008487337,0.01,Radial Velocity
HD 187123 c,150.0,7.83,Gas Giant,2008,1.99,Jupiter,1.19,Jupiter,4.89,10.4,0.25,Radial Velocity
HD 18742 b,531.0,7.81,Gas Giant,2011,3.4,Jupiter,1.17,Jupiter,1.82,2.1,0.04,Radial Velocity
HD 188015 b,165.0,8.24,Gas Giant,2004,1.5,Jupiter,1.21,Jupiter,1.203,1.2626969,0.14,Radial Velocity
HD 188641 b,210.0,7.34,Gas Giant,2022,29.14349,Jupiter,1.06,Jupiter,11.958319,40.0,0.03,Radial Velocity
HD 189567 b,58.0,6.074,Neptune-like,2021,8.5,Earth,0.254,Jupiter,0.111,0.039151266,0.189,Radial Velocity
HD 189567 c,58.0,6.074,Neptune-like,2021,7.0,Earth,0.227,Jupiter,0.197,0.092265576,0.16,Radial Velocity
HD 189733 b,64.0,7.67,Gas Giant,2005,1.13,Jupiter,1.13,Jupiter,0.03126,0.006023272,0.0,Radial Velocity
HD 190007 b,41.0,7.46,Neptune-like,2020,16.46,Earth,0.375,Jupiter,0.092,0.032032855,0.14,Radial Velocity
HD 190228 b,205.0,7.3,Gas Giant,2022,5.4332,Jupiter,1.14,Jupiter,2.405224,3.1,0.56,Radial Velocity
HD 190360 b,52.0,5.738,Gas Giant,2003,1.8,Jupiter,1.2,Jupiter,3.9,7.8,0.34,Radial Velocity
HD 190360 c,52.0,5.738,Neptune-like,2005,19.069,Earth,0.409,Jupiter,0.1304,0.04681725,0.24,Radial Velocity
HD 190647 b,178.0,7.78,Gas Giant,2007,1.985,Jupiter,1.19,Jupiter,2.231,3.2,0.22,Radial Velocity
HD 190984 b,483.0,8.76,Gas Giant,2009,3.1,Jupiter,1.17,Jupiter,5.5,13.4,0.57,Radial Velocity
HD 191806 b,214.0,8.09,Gas Giant,2016,9.34112,Jupiter,1.12,Jupiter,2.746858,4.4,0.21,Radial Velocity
HD 191939 b,175.0,8.97,Neptune-like,2020,10.0,Earth,0.304,Jupiter,0.0804,0.02436687,0.03,Transit
HD 191939 c,175.0,8.97,Neptune-like,2020,8.0,Earth,0.285,Jupiter,0.1752,0.07830253,0.03,Transit
HD 191939 d,175.0,8.97,Neptune-like,2020,2.8,Earth,0.267,Jupiter,0.2132,0.105133474,0.03,Transit
HD 191939 e,175.0,8.97,Gas Giant,2022,0.35302,Jupiter,1.16,Jupiter,0.407,0.2767967,0.03,Radial Velocity
HD 191939 f,175.0,8.97,Gas Giant,2022,2.07659,Jupiter,1.19,Jupiter,3.2,6.0,0.0,Radial Velocity
HD 191939 g,175.0,8.97,Neptune-like,2022,13.5,Earth,0.334,Jupiter,0.812,0.7775496,0.03,Transit
HD 192263 b,64.0,7.79,Gas Giant,1999,0.56,Jupiter,1.26,Jupiter,0.15,0.06680356,0.05,Radial Velocity
HD 192310 b,29.0,5.73,Neptune-like,2011,16.9,Earth,0.381,Jupiter,0.32,0.20451744,0.13,Radial Velocity
HD 192310 c,29.0,5.73,Neptune-like,2011,24.0,Earth,0.469,Jupiter,1.18,1.4,0.32,Radial Velocity
HD 192699 b,234.0,6.45591,Gas Giant,2007,2.096,Jupiter,1.19,Jupiter,1.063,0.93333334,0.08,Radial Velocity
HD 194490 b,262.0,8.99,Gas Giant,2022,11.26401,Jupiter,1.11,Jupiter,11.043187,35.9,0.25,Radial Velocity
HD 195019 b,123.0,6.87591,Gas Giant,1998,3.98,Jupiter,1.16,Jupiter,0.14,0.049828887,0.01,Radial Velocity
HD 196050 b,165.0,7.5,Gas Giant,2002,3.18,Jupiter,1.17,Jupiter,2.51,3.8,0.23,Radial Velocity
HD 196067 b,130.0,6.51,Gas Giant,2012,12.5,Jupiter,1.1,Jupiter,5.02,10.0,0.66,Radial Velocity
HD 19615 b,865.0,6.55594,Gas Giant,2022,8.5,Jupiter,1.12,Jupiter,1.1,1.100616,0.2,Radial Velocity
HD 196885 A b,111.0,6.39677,Gas Giant,2007,2.58,Jupiter,1.18,Jupiter,2.37,3.7,0.48,Radial Velocity
HD 197037 b,108.0,6.82294,Gas Giant,2012,0.79,Jupiter,1.24,Jupiter,2.07,2.8,0.22,Radial Velocity
HD 199509 b,79.0,6.98,Gas Giant,2022,0.13487,Jupiter,0.66,Jupiter,0.425988,0.27268994,0.37,Radial Velocity
HD 19994 b,73.0,5.06345,Gas Giant,2003,1.37,Jupiter,1.21,Jupiter,1.305,1.276386,0.06,Radial Velocity
HD 20003 b,136.0,8.39,Neptune-like,2019,11.66,Earth,0.306,Jupiter,0.0974,0.03230664,0.36,Radial Velocity
HD 20003 c,136.0,8.39,Neptune-like,2019,14.44,Earth,0.347,Jupiter,0.1964,0.09281315,0.1,Radial Velocity
HD 200964 b,237.0,6.48605,Gas Giant,2010,1.599,Jupiter,1.21,Jupiter,1.565,1.7,0.09,Radial Velocity
HD 200964 c,237.0,6.48605,Gas Giant,2010,1.214,Jupiter,1.22,Jupiter,1.96,2.3,0.24,Radial Velocity
HD 202206 c,150.0,8.08,Gas Giant,2004,17.9,Jupiter,1.08,Jupiter,2.41,3.5,0.22,Radial Velocity
HD 202696 b,615.0,8.23,Gas Giant,2019,1.996,Jupiter,,,1.566,1.4,0.01,Radial Velocity
HD 202696 c,615.0,8.23,Gas Giant,2019,1.864,Jupiter,,,2.342,2.6,0.03,Radial Velocity
HD 202772 A b,527.0,8.324,Gas Giant,2019,1.017,Jupiter,1.545,Jupiter,0.05208,0.009034907,0.04,Transit
HD 203030 b,128.0,8.45,Gas Giant,2006,11.0,Jupiter,1.29,Jupiter,487.1,11094.6,0.0,Direct Imaging
HD 20329 b,208.0,8.76,Super Earth,2022,7.42,Earth,1.72,Earth,0.018,0.0024640656,0.0,Transit
HD 203387 b,201.0,4.28,Gas Giant,2022,3.494,Jupiter,1.17,Jupiter,1.768964,1.4,0.73,Radial Velocity
HD 203387 c,201.0,4.28,Gas Giant,2022,7.47507,Jupiter,1.13,Jupiter,5.068253,6.8,0.2,Radial Velocity
HD 203473 b,237.0,8.23,Gas Giant,2018,7.8,Jupiter,1.12,Jupiter,2.73,4.3,0.29,Radial Velocity
HD 2039 b,280.0,9.0,Gas Giant,2002,6.29,Jupiter,1.14,Jupiter,2.2,3.1,0.71,Radial Velocity
HD 204313 b,156.0,7.99,Gas Giant,2010,4.88801,Jupiter,1.15,Jupiter,3.183074,5.6,0.1,Radial Velocity
HD 204313 c,156.0,7.99,Neptune-like,2015,17.20043,Earth,0.385,Jupiter,0.211213,0.09582478,0.06,Radial Velocity
HD 204313 e,156.0,7.99,Gas Giant,2022,15.23151,Jupiter,1.09,Jupiter,7.444845,20.1,0.25,Radial Velocity
HD 204941 b,94.0,8.45,Gas Giant,2011,0.23,Jupiter,0.903,Jupiter,2.55,4.7,0.37,Radial Velocity
HD 205158 b,283.0,7.84,Gas Giant,2022,0.38835,Jupiter,1.23,Jupiter,0.177326,0.06926762,0.15,Radial Velocity
HD 205739 b,302.0,8.56,Gas Giant,2008,1.37,Jupiter,1.21,Jupiter,0.896,0.76605064,0.27,Radial Velocity
HD 206255 b,245.0,7.62,Neptune-like,2019,34.2,Earth,0.577,Jupiter,0.461,0.26283368,0.23,Radial Velocity
HD 206610 b,480.0,8.34,Gas Giant,2009,2.036,Jupiter,1.19,Jupiter,1.74,1.8,0.1,Radial Velocity
HD 206893 b,133.0,6.68804,Gas Giant,2021,28.0,Jupiter,1.25,Jupiter,9.6,25.6,0.14,Direct Imaging
HD 206893 c,133.0,6.68804,Gas Giant,2022,12.7,Jupiter,1.46,Jupiter,3.53,5.7,0.41,Direct Imaging
HD 20781 b,117.0,8.48,Super Earth,2019,1.93,Earth,1.21,Earth,0.0529,0.01451061,0.1,Radial Velocity
HD 20781 c,117.0,8.48,Neptune-like,2019,5.33,Earth,2.17,Earth,0.1004,0.038056124,0.09,Radial Velocity
HD 20781 d,117.0,8.48,Neptune-like,2019,10.61,Earth,0.29,Jupiter,0.1647,0.079945244,0.11,Radial Velocity
HD 20781 e,117.0,8.48,Neptune-like,2019,14.03,Earth,0.342,Jupiter,0.3374,0.23408625,0.06,Radial Velocity
HD 20782 b,117.0,7.36,Gas Giant,2006,1.4878,Jupiter,1.21,Jupiter,1.3649,1.6,0.95,Radial Velocity
HD 207832 b,192.0,8.78,Gas Giant,2012,0.56,Jupiter,1.26,Jupiter,0.586,0.43832994,0.2,Radial Velocity
HD 207832 c,192.0,8.78,Gas Giant,2012,0.73,Jupiter,1.25,Jupiter,2.112,3.2,0.27,Radial Velocity
HD 207897 b,92.0,8.37,Super Earth,2021,14.4,Earth,0.223,Jupiter,0.1163,0.044353183,0.05,Transit
HD 20794 b,20.0,4.26,Super Earth,2011,2.7,Earth,1.45,Earth,0.1207,0.050102666,0.0,Radial Velocity
HD 20794 c,20.0,4.26,Super Earth,2011,2.4,Earth,1.35,Earth,0.2036,0.109787814,0.0,Radial Velocity
HD 20794 d,20.0,4.26,Super Earth,2011,4.8,Earth,2.04,Earth,0.3499,0.24722794,0.0,Radial Velocity
HD 20794 e,20.0,4.26,Super Earth,2017,4.77,Earth,2.03,Earth,0.509,0.40246406,0.29,Radial Velocity
HD 208487 b,147.0,7.47,Gas Giant,2004,0.52,Jupiter,1.27,Jupiter,0.524,0.3561944,0.24,Radial Velocity
HD 208527 b,1018.0,6.38984,Gas Giant,2012,9.9,Jupiter,1.11,Jupiter,2.1,2.4,0.08,Radial Velocity
HD 20868 b,156.0,9.92,Gas Giant,2008,1.25,Jupiter,1.22,Jupiter,0.95,1.0428474,0.75,Radial Velocity
HD 208897 b,220.0,6.50821,Gas Giant,2017,1.4,Jupiter,1.21,Jupiter,1.05,0.96564,0.07,Radial Velocity
HD 209458 b,158.0,7.65,Gas Giant,1999,0.73,Jupiter,1.39,Jupiter,0.04707,0.009582478,0.0,Radial Velocity
HD 210193 b,138.0,7.83,Gas Giant,2019,0.4817,Jupiter,1.27,Jupiter,1.487,1.8,0.24,Radial Velocity
HD 210277 b,69.0,6.54348,Gas Giant,1998,1.29,Jupiter,1.22,Jupiter,1.13,1.2106776,0.48,Radial Velocity
HD 210702 b,177.0,5.93022,Gas Giant,2007,1.808,Jupiter,1.2,Jupiter,1.148,0.969473,0.03,Radial Velocity
HD 211403 b,271.0,8.48,Gas Giant,2021,5.54,Jupiter,1.14,Jupiter,0.768,0.61273104,0.08,Radial Velocity
HD 211810 b,211.0,8.59,Gas Giant,2018,0.67,Jupiter,1.25,Jupiter,2.656,4.3,0.68,Radial Velocity
HD 211970 b,43.0,10.24,Neptune-like,2019,13.0,Earth,0.327,Jupiter,0.143,0.068993844,0.15,Radial Velocity
HD 212301 b,177.0,7.76,Gas Giant,2005,0.51,Jupiter,1.27,Jupiter,0.03,0.006023272,0.0,Radial Velocity
HD 212771 b,363.0,7.6,Gas Giant,2009,2.39,Jupiter,1.18,Jupiter,1.19,1.0422999,0.08,Radial Velocity
HD 213240 b,133.0,6.81,Gas Giant,2001,5.58,Jupiter,1.14,Jupiter,1.89,2.4,0.42,Radial Velocity
HD 213472 b,210.0,8.17,Gas Giant,2021,3.5,Jupiter,1.17,Jupiter,13.0,46.6,0.53,Radial Velocity
HD 213519 b,134.0,7.68,Neptune-like,2022,9.51349,Earth,0.272,Jupiter,0.099068,0.030390145,0.41,Radial Velocity
HD 213885 b,157.0,7.95,Super Earth,2019,8.83,Earth,1.745,Earth,0.02012,0.0027378509,0.0,Transit
HD 213885 c,157.0,7.95,Neptune-like,2019,19.95,Earth,0.42,Jupiter,0.056798,0.013141684,0.0,Radial Velocity
HD 21411 b,95.0,7.88,Gas Giant,2019,0.20734,Jupiter,0.85,Jupiter,0.362,0.23080082,0.4,Radial Velocity
HD 214823 b,331.0,8.06,Gas Giant,2016,19.59946,Jupiter,1.08,Jupiter,3.078036,5.1,0.16,Radial Velocity
HD 215152 b,70.0,8.11,Super Earth,2018,1.819,Earth,1.19,Earth,0.057638,0.015879534,0.0,Radial Velocity
HD 215152 c,70.0,8.11,Super Earth,2018,1.72,Earth,1.17,Earth,0.067393,0.019986311,0.0,Radial Velocity
HD 215152 d,70.0,8.11,Super Earth,2018,2.801,Earth,1.48,Earth,0.08799,0.029842572,0.0,Radial Velocity
HD 215152 e,70.0,8.11,Super Earth,2018,2.877,Earth,1.51,Earth,0.15417,0.068993844,0.0,Radial Velocity
HD 215497 b,132.0,8.96,Neptune-like,2009,6.3566,Earth,0.214,Jupiter,0.05,0.010677618,0.16,Radial Velocity
HD 215497 c,132.0,8.96,Gas Giant,2009,0.33,Jupiter,1.11,Jupiter,1.282,1.6,0.49,Radial Velocity
HD 216435 b,108.0,6.03,Gas Giant,2002,1.26,Jupiter,1.22,Jupiter,2.56,3.6,0.07,Radial Velocity
HD 216437 b,87.0,6.04,Gas Giant,2002,2.223,Jupiter,1.19,Jupiter,2.497,3.7,0.32,Radial Velocity
HD 216520 b,64.0,7.53,Neptune-like,2020,10.26,Earth,0.284,Jupiter,0.198,0.0971937,0.09,Radial Velocity
HD 216520 c,64.0,7.53,Neptune-like,2020,9.44,Earth,0.271,Jupiter,0.528,0.42272416,0.12,Radial Velocity
HD 216536 b,1227.0,9.229,Gas Giant,2015,1.05,Jupiter,1.23,Jupiter,0.61,0.40684465,0.38,Radial Velocity
HD 216770 b,120.0,8.11,Gas Giant,2003,0.57,Jupiter,1.26,Jupiter,0.46,0.32443532,0.37,Radial Velocity
HD 21693 b,108.0,7.95,Neptune-like,2019,8.23,Earth,0.25,Jupiter,0.1455,0.062149215,0.12,Radial Velocity
HD 21693 c,108.0,7.95,Neptune-like,2019,17.37,Earth,0.387,Jupiter,0.2586,0.14702259,0.07,Radial Velocity
HD 217107 b,65.0,6.155,Gas Giant,1998,1.3,Jupiter,1.22,Jupiter,0.08,0.01943874,0.13,Radial Velocity
HD 217107 c,65.0,6.155,Gas Giant,2005,2.6,Jupiter,1.18,Jupiter,5.32,11.7,0.52,Radial Velocity
HD 21749 c,53.0,8.08,Super Earth,2019,3.7,Earth,0.892,Earth,0.0695,0.021355236,0.0,Transit
HD 217786 b,181.0,7.78,Gas Giant,2011,13.85303,Jupiter,1.1,Jupiter,2.44502,3.6,0.31,Radial Velocity
HD 217786 c,181.0,7.78,Neptune-like,2022,7.35886,Earth,0.234,Jupiter,0.037863,0.0068446267,-0.52,Radial Velocity
HD 217850 b,215.0,8.520001,Gas Giant,2018,21.6,Jupiter,1.08,Jupiter,4.56,9.6,0.76,Radial Velocity
HD 217958 b,202.0,8.05,Gas Giant,2022,0.5916,Jupiter,1.26,Jupiter,3.748429,7.0,0.16,Radial Velocity
HD 218566 b,94.0,8.6,Gas Giant,2010,0.2,Jupiter,0.832,Jupiter,0.69,0.6179329,0.3,Radial Velocity
